CATEGORIA;CCAA;PROVINCIA;VALORACION_POR_CATEGORIA;TOTAL_OPINIONES_CATEGORIA;VALORACION_GENERAL;;;;;;;Err:501
Naturaleza;Andalucia;Almeria;4,43;16866;4,26;;;;;;;
Naturaleza;Andalucia;Cadiz;4,41;8593;4,31;;;;;;;
Naturaleza;Andalucia;Cordoba;4,49;2543;4,31;;;;;;;
Naturaleza;Andalucia;Granada;4,56;13820;4,41;;;;;;;
Naturaleza;Andalucia;Huelva;4,26;5612;4,15;;;;;;;
Naturaleza;Andalucia;Jaen;4,69;3007;4,39;;;;;;;
Naturaleza;Andalucia;Malaga;4,55;66623;4,46;;;;;;;
Naturaleza;Andalucia;Sevilla;4,38;5022;4,36;;;;;;;
Naturaleza;Aragon;Huesca;4,59;10161;4,27;;;;;;;
Naturaleza;Aragon;Teruel;4,55;3070;4,28;;;;;;;
Naturaleza;Aragon;Zaragoza;4,53;3646;4,22;;;;;;;
Naturaleza;Canarias;Las;4,49;115253;4,28;;;;;;;
Naturaleza;Canarias;Santa;4,38;107785;4,29;;;;;;;
Naturaleza;Cantabria;Cantabria;4,48;15626;4,31;;;;;;;
Naturaleza;Castilla La Mancha;Albacete;4,53;1535;4,14;;;;;;;
Naturaleza;Castilla La Mancha;Ciudad Real;4,45;1131;4,32;;;;;;;
Naturaleza;Castilla La Mancha;Cuenca;4,48;2395;4,23;;;;;;;
Naturaleza;Castilla La Mancha;Guadalajara;4,4;997;4,1;;;;;;;
Naturaleza;Castilla La Mancha;Toledo;4,43;1592;4,23;;;;;;;
Naturaleza;Castilla y Leon;Burgos;4,54;3381;4,33;;;;;;;
Naturaleza;Castilla y Leon;Leon;4,52;2994;4,26;;;;;;;
Naturaleza;Castilla y Leon;Palencia;4,26;301;4,38;;;;;;;
Naturaleza;Castilla y Leon;Salamanca;4,49;1371;4,21;;;;;;;
Naturaleza;Castilla y Leon;Segovia;4,24;2436;4,1;;;;;;;
Naturaleza;Castilla y Leon;Soria;4,16;1877;3,96;;;;;;;
Naturaleza;Castilla y Leon;Valladolid;4,51;3270;4,06;;;;;;;
Naturaleza;Castilla y Leon;Zamora;4,43;440;4,21;;;;;;;
Naturaleza;Castilla y Leon;avila;4,49;1347;4,24;;;;;;;
Naturaleza;Cataluña;Barcelona;4,41;50267;4,12;;;;;;;
Naturaleza;Cataluña;Girona;4,47;40812;4,28;;;;;;;
Naturaleza;Cataluña;Lleida;4,53;7452;4,27;;;;;;;
Naturaleza;Cataluña;Tarragona;4,42;19398;4,22;;;;;;;
Naturaleza;Ceuta;Ceuta;3,5;2;3,5;;;;;;;
Naturaleza;Comunidad Foral De Navarra;Navarra;4,6;5154;4,27;;;;;;;
Naturaleza;Comunidad De Madrid;Madrid;4,33;14570;4,19;;;;;;;
Naturaleza;Comunitat Valenciana;Alicante/Alacant;4,47;49311;4,29;;;;;;;
Naturaleza;Comunitat Valenciana;Castellon/Castellon;4,5;3613;4,27;;;;;;;
Naturaleza;Comunitat Valenciana;Valencia/Valencia;4,26;53833;4,2;;;;;;;
Naturaleza;Extremadura;Badajoz;4,35;911;4,34;;;;;;;
Naturaleza;Extremadura;Caceres;4,66;2760;4,39;;;;;;;
Naturaleza;Galicia;A Coruña;4,42;7464;4,26;;;;;;;
Naturaleza;Galicia;Lugo;4,63;6770;4,29;;;;;;;
Naturaleza;Galicia;Ourense;4,57;1446;4,23;;;;;;;
Naturaleza;Galicia;Pontevedra;4,36;11290;4,2;;;;;;;
Naturaleza;Illes Baleares;Balears;4,51;142958;4,36;;;;;;;
Naturaleza;La Rioja;La Rioja;4,57;14747;4,33;;;;;;;
Naturaleza;Pais Vasco;Araba/Alava;4,66;7707;4,43;;;;;;;
Naturaleza;Pais Vasco;Bizkaia;4,45;3085;4,36;;;;;;;
Naturaleza;Pais Vasco;Gipuzkoa;4,7;16601;4,4;;;;;;;
Naturaleza;Principado De Asturias;Asturias;4,48;20778;4,38;;;;;;;
Naturaleza;Region de Murcia;Murcia;4,48;3093;4,26;;;;;;;
Urbano;Andalucia;Almeria;4,37;6113;4,26;;;;;;;
Urbano;Andalucia;Cadiz;4,62;2644;4,31;;;;;;;
Urbano;Andalucia;Cordoba;4,41;31998;4,31;;;;;;;
Urbano;Andalucia;Granada;4,4;66009;4,41;;;;;;;
Urbano;Andalucia;Huelva;4,3;1117;4,15;;;;;;;
Urbano;Andalucia;Jaen;4,55;1434;4,39;;;;;;;
Urbano;Andalucia;Malaga;4,56;63482;4,46;;;;;;;
Urbano;Andalucia;Sevilla;4,35;107233;4,36;;;;;;;
Urbano;Aragon;Huesca;4,14;1631;4,27;;;;;;;
Urbano;Aragon;Teruel;4,36;2705;4,28;;;;;;;
Urbano;Aragon;Zaragoza;4,32;10487;4,22;;;;;;;
Urbano;Canarias;Las Palmas;4,5;35229;4,28;;;;;;;
Urbano;Canarias;Santa Cruz de Tenerife;4,55;58110;4,29;;;;;;;
Urbano;Cantabria;Cantabria;4,34;6348;4,31;;;;;;;
Urbano;Castilla La Mancha;Albacete;3,9;568;4,14;;;;;;;
Urbano;Castilla La Mancha;Ciudad;4,69;1649;4,32;;;;;;;
Urbano;Castilla La Mancha;Cuenca;4,49;4563;4,23;;;;;;;
Urbano;Castilla La Mancha;Guadalajara;4,48;986;4,1;;;;;;;
Urbano;Castilla La Mancha;Toledo;4,43;16522;4,23;;;;;;;
Urbano;Castilla Y Leon;Burgos;4,61;2643;4,33;;;;;;;
Urbano;Castilla Y Leon;Leon;4,39;1791;4,26;;;;;;;
Urbano;Castilla Y Leon;Palencia;4,59;666;4,38;;;;;;;
Urbano;Castilla Y Leon;Salamanca;4,36;1984;4,21;;;;;;;
