"","Tráfico directo","Tráfico de referencia","Tráfico orgánico","Tráfico de pago","Tráfico social orgánico","Tráfico social de pago","Tráfico de correo","Anuncios de display"
"ene 2024","10233","0","0","0","0","0","0","0"
"feb 2024","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"mar 2024","0","0","0","0","39","0","0","0"
"abr 2024","0","0","0","0","33","0","0","0"
"may 2024","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"jun 2024","3104","0","0","0","0","0","0","0"
"jul 2024","0","0","0","42","0","0","0","0"
"ago 2024","0","0","88","142","0","0","0","0"
"sept 2024","55","0","184","110","0","0","0","0"
"oct 2024","0","0","84","0","0","0","0","0"
"nov 2024","0","0","182","0","0","0","0","0"
"dic 2024","0","69","7256","0","0","0","0","0"
