;;;;;;;;;;;;;;;;;;
Entradas, pernoctaciones, estancia media y grados de ocupación en establecimientos hoteleros de la C.A. de Euskadi por origen y zona geográfica. 2024;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;Entradas;;;;;Pernoctaciones;;;;;Estancia media;;;Grados de ocupación;;;;;
;;;;;;;;;;;;;;por plazas;;;por habitaciones;;
;2024;%;2023;%;2024/2023;2024;%;2023;%;2024/2023;2024;2023;2024/2023;2024;2023;2024/2023;2024;2023;2024/2023
C.A. DE EUSKADI;3764003;100;3687240;100;2,08185526301516;7457707;100;7214545;100;3,37044124057719;1,98132334113443;1,95662473828663;1,26230658155848;57,73;57,79;="-0,103824191036517";68,97;68,47;0,730246823426328
Residentes en el estado;1998539;53,0961053963028;2013945;54,6193087512611;="-0,764966272663847";3894323;52,2187718021102;3883449;53,8280515264649;0,280008827204892;1,94858494129962;1,92827957069334;1,05303042747986;="-";="-";="-";="-";="-";="-"
Residentes en el extranjero;1765464;46,9038946036972;1673295;45,3806912487389;5,50823375435892;3563384;47,7812281978898;3331096;46,1719484735351;6,97332049271471;2,01838383563754;1,99074042532847;1,38859943553484;="-";="-";="-";="-";="-";="-"
;;;;;;;;;;;;;;;;;;;
ARABA/ÁLAVA;525956;13,9733151115979;503596;13,6578036688689;4,44006703786368;1075845;14,4259488875066;998496;13,840041194559;7,74655081242188;2,04550380640206;1,98273219008888;3,16591502508272;55,07;54,49;1,06441548908056;68,8;67,9;1,32547864506627
Residentes en el estado;361741;68,7778065085292;349857;69,4717591084917;3,39681641356326;741935;68,9630011758199;699341;70,0394393167324;6,09059099924072;2,0510116353966;1,9989338501159;2,60527807249207;="-";="-";="-";="-";="-";="-"
Residentes en el extranjero;164215;31,2221934914708;153739;30,5282408915083;6,81414605272572;333910;31,0369988241801;299155;29,9605606832676;11,6177232538316;2,03337088572907;1,94586279343563;4,4971357995361;="-";="-";="-";="-";="-";="-"
;;;;;;;;;;;;;;;;;;;
Vitoria-Gasteiz;407217;77,4241571538304;385087;76,4674461274514;5,74675333106545;872929;81,138918710409;799431;80,0635155273531;9,19378908248492;2,1436457711736;2,07597503940668;3,25970835305716;56,42;55,6;1,47482014388489;72,89;71,76;1,5746934225195
Rioja Alavesa;69887;13,2876134125288;69225;13,746137777107;0,956301914048385;113917;10,5886070948882;114162;11,4333958273243;="-0,214607312415693";1,63001702748723;1,64914409534128;="-1,15981786601193";51,67;53,48;="-3,38444278234853";54,21;55,94;="-3,09259921344297"
Resto Álava;48852;9,28822943364084;49284;9,78641609544158;="-0,876552227903582";88999;8,27247419470277;84903;8,50308864532257;4,82432894008458;1,82180872840416;1,722729486243;5,75129426601015;47,91;46,9;2,15351812366738;54,97;53,97;1,85288123031313
;;;;;;;;;;;;;;;;;;;
BIZKAIA;1665846;44,2572973507194;1688130;45,7830247014027;="-1,32004051820653";3220788;43,1873764952149;3233468;44,8187377027935;="-0,392148615665899";1,93342481838057;1,91541409725554;0,940304300299011;55,66;56,04;="-0,678087080656675";68,18;67,65;0,783444198078342
Residentes en el estado;899682;54,0075132995487;937583;55,5397392380919;="-4,04241544481928";1684624;52,3047154919852;1737531;53,7358340951573;="-3,04495286702798";1,87246604911513;1,8532023298204;1,03948279066748;="-";="-";="-";="-";="-";="-"
Residentes en el extranjero;766164;45,9924867004513;750547;44,4602607619082;2,08074910698464;1536164;47,6952845080148;1495937;46,2641659048427;2,68908383173891;2,00500676095457;1,99312901124113;0,595934816384136;="-";="-";="-";="-";="-";="-"
;;;;;;;;;;;;;;;;;;;
Bilbao;1128666;67,7533217356226;1151352;68,2028042863997;="-1,97037917161736";2211004;68,6479209435703;2233620;69,0781538583341;="-1,01252675029773";1,95895331302617;1,93999749859296;0,977105096628428;61,29;61,28;0,0163185378589947;74,46;73,35;1,51329243353784
Área metropolitana (1);253919;15,2426454786337;257006;15,2243014459787;="-1,20113927301309";442840;13,7494302636498;450295;13,926069470921;="-1,65558134112082";1,74402073102052;1,75207971798324;="-0,459966911322496";46,91;48,59;="-3,45750154352749";62,2;61,33;1,41855535626938
Bizkaia costa;158917;9,5397173568265;146940;8,70430594800164;8,15094596433918;310466;9,63944227313316;278356;8,6085899102759;11,5355875210162;1,95363617485857;1,89435143596026;3,12955335387737;46,54;45,13;3,12430755594948;56,51;56,84;="-0,580577058409582"
Bizkaia interior;124344;7,4643154289172;132832;7,86858831961993;="-6,39002649963865";256478;7,96320651964674;271197;8,38718676046895;="-5,42741991983687";2,06264878080165;2,04165411948928;1,02831626140569;45,19;46,68;="-3,19194515852614";52,7;54,05;="-2,49768732654948"
;;;;;;;;;;;;;;;;;;;
GIPUZKOA;1572201;41,7693875376826;1495514;40,5591716297285;5,12780221382081;3161074;42,3866746172785;2982581;41,3412211026475;5,98451475416761;2,01060424207846;1,99435177470756;0,814924808001161;61,03;61,08;="-0,081859855926647";69,92;69,63;0,416487146344968
Residentes en el estado;737116;46,884336035914;726505;48,5789501134727;1,46055429763043;1467764;46,4324466937503;1446577;48,5008454087249;1,46462995056607;1,99122526169558;1,99114527773381;0,00401698272185502;="-";="-";="-";="-";="-";="-"
Residentes en el extranjero;835085;53,115663964086;769009;51,4210498865273;8,592357176574;1693310;53,5675533062497;1536004;51,4991545912751;10,2412493717464;2,02770975409689;1,99738104495526;1,51842379891549;="-";="-";="-";="-";="-";="-"
;;;;;;;;;;;;;;;;;;;
Donostia / San Sebastián;1029670;65,4922621217007;960282;64,2108331984856;7,22579408965283;2132783;67,4702015833859;1947513;65,2962316865829;9,51315857711861;2,07132673575029;2,0280636313083;2,13322224086612;65,83;65,78;0,0760109455761659;74,26;73,4;1,17166212534059
Área metropolitana (1);124885;7,94332276852642;126406;8,45234481255274;="-1,20326566776894";227245;7,18885416791888;238935;8,01101462122906;="-4,89254399732145";1,81963406333827;1,89021881872696;="-3,73421080614497";48,32;51,03;="-5,3106016068979";60,29;62,97;="-4,25599491821502"
Gipuzkoa costa (1);288638;18,3588485187327;281092;18,7956782751616;2,68453033170635;490312;15,5109307785898;486327;16,3055756071671;0,819407517986859;1,69870910968064;1,73013461784754;="-1,81636202424502";60,86;61,18;="-0,523046747303035";68,98;68,71;0,392955901615499
Gipuzkoa interior;129008;8,2055665910402;127734;8,54114371380007;0,997385191100264;310734;9,83001347010541;309806;10,387178085021;0,29954229420992;2,40864132456902;2,42539965866566;="-0,690951449455768";46,81;46,98;="-0,361856108982539";57,4;59,19;="-3,02415948639972"
;;;;;;;;;;;;;;;;;;;
(1) No incluye la capital;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Fuente: Eustat. Encuesta de establecimientos turísticos receptores
