;2024,0;%;2023,0;%;2024/2023;2024,0;%;2023,0;%;2024/2023;2024,0;2023,0;2024/2023;2024,0;2023,0;2024/2023;2024,0;2023,0;2024/2023;;;
CA;DE;EUSKADI;3764003,0;100,0;3687240,0;100,0;2,1;7457707,0;100,0;7214545,0;100,0;3,4;2,0;2,0;1,3;57,7;57,8;-0,1;69,0;68,5;0,7;
Residentes;en;el;estado;1998539,0;53,1;2013945,0;54,6;-0,8;3894323,0;52,2;3883449,0;53,8;0,3;2,0;1,9;1,1;0,0;0,0;0,0;-0;-0;-0
Residentes;en;el;extranjero;1765464,0;46,9;1673295,0;45,4;5,5;3563384,0;47,8;3331096,0;46,2;7,0;2,0;2,0;1,4;0,0;0,0;0,0;-0;-0;-0
;;;;;;;;;;;;;;;;;;;;;;
ARABA/ÁLAVA;525956,0;14,0;503596,0;13,7;4,4;1075845,0;14,4;998496,0;13,8;7,7;2,1;2,0;3,2;55,1;54,5;1,1;68,8;67,9;1,3;;;
Residentes;en;el;estado;361741,0;68,8;349857,0;69,5;3,4;741935,0;69,0;699341,0;70,0;6,1;2,1;2,0;2,6;0,0;0,0;0,0;-0;-0;-0
Residentes;en;el;extranjero;164215,0;31,2;153739,0;30,5;6,8;333910,0;31,0;299155,0;30,0;11,6;2,0;2,0;4,5;0,0;0,0;0,0;-0;-0;-0
;;;;;;;;;;;;;;;;;;;;;;
Vitoria-Gasteiz;407217,0;77,4;385087,0;76,5;5,7;872929,0;81,1;799431,0;80,1;9,2;2,1;2,1;3,3;56,4;55,6;1,5;72,9;71,8;1,6;;;
Rioja;Alavesa;69887,0;13,3;69225,0;13,7;1,0;113917,0;10,6;114162,0;11,4;-0,2;1,6;1,7;-1,2;51,7;53,5;-3,4;54,2;55,9;-3,1;;
Resto;Álava;48852,0;9,3;49284,0;9,8;-0,9;88999,0;8,3;84903,0;8,5;4,8;1,8;1,7;5,8;47,9;46,9;2,2;55,0;54,0;1,9;;
;;;;;;;;;;;;;;;;;;;;;;
BIZKAIA;1665846,0;44,3;1688130,0;45,8;-1,3;3220788,0;43,2;3233468,0;44,8;-0,4;1,9;1,9;0,9;55,7;56,0;-0,7;68,2;67,7;0,8;;;
Residentes;en;el;estado;899682,0;54,0;937583,0;55,5;-4,0;1684624,0;52,3;1737531,0;53,7;-3,0;1,9;1,9;1,0;0,0;0,0;0,0;-0;-0;-0
Residentes;en;el;extranjero;766164,0;46,0;750547,0;44,5;2,1;1536164,0;47,7;1495937,0;46,3;2,7;2,0;2,0;0,6;0,0;0,0;0,0;-0;-0;-0
;;;;;;;;;;;;;;;;;;;;;;
Bilbao;1128666,0;67,8;1151352,0;68,2;-2,0;2211004,0;68,6;2233620,0;69,1;-1,0;2,0;1,9;1,0;61,3;61,3;0,0;74,5;73,4;1,5;;;
Área;metropolitana;(1);253919,0;15,2;257006,0;15,2;-1,2;442840,0;13,7;450295,0;13,9;-1,7;1,7;1,8;-0,5;46,9;48,6;-3,5;62,2;61,3;1,4;
Bizkaia;costa;158917,0;9,5;146940,0;8,7;8,2;310466,0;9,6;278356,0;8,6;11,5;2,0;1,9;3,1;46,5;45,1;3,1;56,5;56,8;-0,6;;
Bizkaia;interior;124344,0;7,5;132832,0;7,9;-6,4;256478,0;8,0;271197,0;8,4;-5,4;2,1;2,0;1,0;45,2;46,7;-3,2;52,7;54,1;-2,5;;
;;;;;;;;;;;;;;;;;;;;;;
GIPUZKOA;1572201,0;41,8;1495514,0;40,6;5,1;3161074,0;42,4;2982581,0;41,3;6,0;2,0;2,0;0,8;61,0;61,1;-0,1;69,9;69,6;0,4;;;
Residentes;en;el;estado;737116,0;46,9;726505,0;48,6;1,5;1467764,0;46,4;1446577,0;48,5;1,5;2,0;2,0;0,0;0,0;0,0;0,0;-0;-0;-0
Residentes;en;el;extranjero;835085,0;53,1;769009,0;51,4;8,6;1693310,0;53,6;1536004,0;51,5;10,2;2,0;2,0;1,5;0,0;0,0;0,0;-0;-0;-0
;;;;;;;;;;;;;;;;;;;;;;
Donostia;/;San;Sebastián;1029670,0;65,5;960282,0;64,2;7,2;2132783,0;67,5;1947513,0;65,3;9,5;2,1;2,0;2,1;65,8;65,8;0,1;74,3;73,4;1,2
Área;metropolitana;(1);124885,0;7,9;126406,0;8,5;-1,2;227245,0;7,2;238935,0;8,0;-4,9;1,8;1,9;-3,7;48,3;51,0;-5,3;60,3;63;-4,3;
Gipuzkoa;costa;(1);288638,0;18,4;281092,0;18,8;2,7;490312,0;15,5;486327,0;16,3;0,8;1,7;1,7;-1,8;60,9;61,2;-0,5;69,0;68,7;0,4;
Gipuzkoa;interior;129008,0;8,2;127734,0;8,5;1,0;310734,0;9,8;309806,0;10,4;0,3;2,4;2,4;-0,7;46,8;47,0;-0,4;57,4;59,2;-3;;
